precio,ubicacion,tamanio,latitud,longitud
29900," Jose Maria Castorena 232,  El Yaqui, Cuajimalpa de Morelos",802,19.361768000000000,-99.288325600000000
25000," Avenida de la Paz 40,  San Ángel, Alvaro Obregón",3820,19.347110300000000,-99.189234600000000
62000," Avenida Baja California 295,  Condesa, Cuauhtémoc",56,19.406041400000000,-99.172278200000000
8000," BOLAÑOS,  Felipe Pescador, Cuauhtémoc",30,19.454100000000000,-99.125200000000006
16000," Huitzilopochtli Lte 14 Mz 19,  Adolfo Ruiz Cortines, Coyoacán",35,19.320184600000001,-99.150290499999996
50000," AV. DE LA PAZ 40,  San Ángel, Alvaro Obregón",66,19.347110300000000,-99.189234600000000
9000," Lucerna 65,  Juárez, Cuauhtémoc",8,19.430266400000000,-99.156914700000000
50000," Avenida de las Palmas 1065,  Lomas de Chapultepec, Miguel Hidalgo",291,19.426298600000000,-99.221970100000000
18000," Montecito 38,  Nápoles, Benito Juárez",40,19.394554280612800,-99.173986511639400
55000," AV. DE LA PAZ 40,  San Ángel, Alvaro Obregón",64,19.347110300000000,-99.189234600000000
7500," Petén,  Narvarte Oriente, Benito Juárez",12,19.387945099999999,-99.152890700000000
10000," av 412 272,  San Juan de Aragón, Gustavo A. Madero",21,19.465704656798987,-99.069175954290500
8000," Jacobo Watt 64,  San Simón Culhuacán, Iztapalapa",764,19.333645800000000,-99.102719700000000
16000," calzada vallejo 1657,  Ampliación Progreso Nacional, Gustavo A. Madero",80,19.520681500000000,-99.164028899999990
29500," Avenida Thiers ,  Anzures, Miguel Hidalgo",51,19.436726300000000,-99.182096500000000
11000," Marcelino Dávalos 53,  Algarín, Cuauhtémoc",163,19.405249500000000,-99.137335299999990
24000," prado norte ,  Lomas de Chapultepec, Miguel Hidalgo",6013,19.427376600000000,-99.211281500000000
26000," Dr. José María Vertiz 530 1,  Narvarte Oriente, Benito Juárez",551,19.401920864800000,-99.150366783099997
36200," Guillermo González Camarena 111,  Santa Fe Centro, Alvaro Obregón",79,19.367644900000000,-99.261936300000000
12000," Bolivar 1025 B,  Niños Héroes, Benito Juárez",33,19.385331600000000,-99.145724800000000
20000," JM castorena 46,  El Yaqui, Cuajimalpa de Morelos",55,19.364411382508408,-99.284352618910220
12000," INSURGENTES,  Insurgentes Mixcoac, Benito Juárez",60,19.371400000000001,-99.180499999999994
26500," MAGDALENA 112 ,  Del Valle Norte, Benito Juárez",28,19.395286200000000,-99.170642600000000
39000," Justo sierra 56,  Centro , Cuauhtémoc",57,19.435494300000000,-99.128850700000000
35000," Prolongación Paseo de la Reforma ,  Cruz Manca, Cuajimalpa de Morelos",51,19.360798000000000,-99.269485100000000
16000," Huitzilopochtli Lte 14 Mz 19 340,  Acueducto de Guadalupe, Gustavo A. Madero",35,19.320185000000000,-99.150290000000000
35500," Av. Miguel Othón de Mendizabal  343, Nueva Industrial Vallejo,  Nueva Industrial Vallejo, Gustavo A. Madero",651,19.506300500000000,-99.143899199999990
1," Av. Rio Churubusco ,  Nueva Rosita, Iztapalapa",50960,19.377709800000000,-99.105844400000000
23500," Del carmen coyoacan,  Del Carmen, Coyoacán",505,19.353812900000000,-99.163605100000010
23000," MONTECITO 38,  Nápoles, Benito Juárez",31,19.394554280612800,-99.173986511639400
32014," Avenida INSURGENTES,  Tabacalera, Cuauhtémoc",44,19.436323800000000,-99.157102300000000
20500," Avenida Hidalgo,  Del Carmen, Coyoacán",18,19.350695500000000,-99.155590900000000
32017," Insurgentes norte,  Tabacalera, Cuauhtémoc",442,19.436323800000000,-99.157102300000000
65000," Oxford y Hamburgo,  Juárez, Cuauhtémoc",58,19.424262400000000,-99.168937300000010
