,NOMBRECOMERCIAL,PRECIO,FECHAREGISTRO,PRESENTACIÓN,MARCA,LATITUD,LONGITUD,PRODUCTO
77176,BODEGA AURRERA EXPRESS SUCURSAL AZCAPOTZALCO,32.9,2023-09-28,1 KG. SALADETTE/ HUAJE O TOMATE SALADETTE/ HUAJE,S/M,19.482528,-99.184364,JITOMATE
77662,MERCADO SORIANA SUCURSAL AZCAPOTZALCO,30.9,2023-09-28,1 KG. SALADETTE/ HUAJE O TOMATE SALADETTE/ HUAJE,S/M,19.47825,-99.187038,JITOMATE
78592,WALMART SUCURSAL CUITLAHUAC,32.9,2023-09-28,1 KG. SALADETTE/ HUAJE O TOMATE SALADETTE/ HUAJE,S/M,19.471594,-99.16484,JITOMATE
110976,BODEGA AURRERA SUCURSAL CANTIL,27.9,2023-09-28,1 KG. SALADETTE/ HUAJE O TOMATE SALADETTE/ HUAJE,S/M,19.330481,-99.154328,JITOMATE
111872,LACOMER SUCURSAL MIGUEL ANGEL DE QUEVEDO,38.9,2023-09-28,1 KG. SALADETTE/ HUAJE O TOMATE SALADETTE/ HUAJE,S/M,19.345444,-99.172181,JITOMATE
112938,SORIANA SUCURSAL CANTIL (419),32.9,2023-09-28,1 KG. SALADETTE/ HUAJE O TOMATE SALADETTE/ HUAJE,S/M,19.329484,-99.154197,JITOMATE
113673,U.N.A.M. SUCURSAL 02 CD UNIVERSITARIA,27.55,2023-09-28,1 KG. SALADETTE/ HUAJE O TOMATE SALADETTE/ HUAJE,S/M,19.322043,-99.176224,JITOMATE
114179,WALMART EXPRESS SUCURSAL DIVISION DEL NORTE,36.9,2023-09-28,1 KG. SALADETTE/ HUAJE O TOMATE SALADETTE/ HUAJE,S/M,19.321169,-99.138857,JITOMATE
114817,WALMART SUCURSAL COPILCO,32.9,2023-09-28,1 KG. SALADETTE/ HUAJE O TOMATE SALADETTE/ HUAJE,S/M,19.337768,-99.183895,JITOMATE
122431,BODEGA AURRERA EXPRESS SUCURSAL LOS GALLOS,32.9,2023-09-28,1 KG. SALADETTE/ HUAJE O TOMATE SALADETTE/ HUAJE,S/M,19.455788,-99.162735,JITOMATE
123110,LACOMER SUCURSAL SANTA MARIA LA RIBERA,38.9,2023-09-28,1 KG. SALADETTE/ HUAJE O TOMATE SALADETTE/ HUAJE,S/M,19.450874,-99.16366,JITOMATE
